ID;Level;Word;Pinyin;Normalized;Meaning;Sentence;Sentence_Pinyin;Sentence_Normalized;Sentence_Meaning;Category
L1-0043;Beginner;车票;chēpiào;chepiao;ticket;请查一下车票的时刻表。;qǐng chá yī xià chē piào de shí kè biǎo 。;qing cha yi xia che piao de shi ke biao 。;please check the ticket schedule.;Transport
L1-0044;Beginner;车上;chē shang;che shang;on the car;车上票已经提前买好了。;chē shàng piào yǐ jīng tí qián mǎi hǎo le 。;che shang piao yi jing ti qian mai hao le 。;the on the car ticket has already been bought in advance.;Transport
L1-0045;Beginner;车站;chēzhàn;chezhan;station;比起开车，我更喜欢坐车站。;bǐ qǐ kāi chē ， wǒ gèng xǐ huān zuò chē zhàn 。;bi qi kai che ， wo geng xi huan zuo che zhan 。;compared to driving, I prefer taking the station.;Transport
L1-0046;Beginner;吃;chī;chi;eat;请给我来一份吃。;qǐng gěi wǒ lái yī fèn chī 。;qing gei wo lai yi fen chi 。;please give me a serving of eat.;Food
L1-0047;Beginner;吃饭;chīfàn;chifan;eating;吃饭对身体有很多好处。;chī fàn duì shēn tǐ yǒu hěn duō hǎo chù 。;chi fan dui shen ti you hen duo hao chu 。;eating has many health benefits.;Food
L1-0048;Beginner;出;chū;chu;out;请出去一下。;qǐng chū qù yī xià 。;qing chu qu yi xia 。;please go out for a moment.;Daily
L1-0049;Beginner;出来;chūlái;chulai;come out;他从房间里出来了。;tā cóng fáng jiān lǐ chū lái le 。;ta cong fang jian li chu lai le 。;he came out of the room.;Daily
L1-0050;Beginner;出去;chūqù;chuqu;go out;我想出去散步。;wǒ xiǎng chū qù sàn bù 。;wo xiang chu qu san bu 。;i want to go out for a walk.;Daily
L1-0051;Beginner;穿;chuān;chuan;wear;今天穿多一点。;jīn tiān chuān duō yì diǎn 。;jin tian chuan duo yi dian 。;wear more today.;Daily
L1-0052;Beginner;床;chuáng;chuang;bed;床让人印象深刻。;chuáng ràng rén yìn xiàng shēn kè 。;chuang rang ren yin xiang shen ke 。;bed is very impressive.;Daily
L1-0053;Beginner;次;cì;ci;second-rate;我一次也没去过。;wǒ yī cì yě méi qù guò 。;wo yi ci ye mei qu guo 。;i have never been there even once.;Time
L1-0054;Beginner;从;cóng;cong;from;我从北京来。;wǒ cóng běi jīng lái 。;wo cong bei jing lai 。;i come from Beijing.;Daily
L1-0055;Beginner;错;cuò;cuo;mistaken;这道题做错了。;zhè dào tí zuò cuò le 。;zhe dao ti zuo cuo le 。;this problem was done wrong.;Daily
L1-0056;Beginner;打;dǎ;da;beat;请不要打架。;qǐng bú yào dǎ jià 。;qing bu yao da jia 。;please don't fight.;Food
L1-0057;Beginner;打车;dǎchē;dache;taxi;这个打车在日常生活中很有用。;zhè ge dǎ chē zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge da che zai ri chang sheng huo zhong hen you yong 。;this taxi is very useful in daily life.;Daily
L1-0058;Beginner;打电话;dǎ diànhuà;da dianhua;call;他每天早上都打电话。;tā měi tiān zǎo shàng dōu dǎ diàn huà 。;ta mei tian zao shang dou da dian hua 。;he call every morning.;Activity
L1-0059;Beginner;打开;dǎkāi;dakai;open;请把窗户打开。;qǐng bǎ chuāng hù dǎ kāi 。;qing ba chuang hu da kai 。;please open the window.;Daily
L1-0060;Beginner;打球;dǎ qiú;da qiu;playing ball;打球的时候要专心。;dǎ qiú de shí hòu yào zhuān xīn 。;da qiu de shi hou yao zhuan xin 。;pay attention when playing ball.;Activity
L1-0061;Beginner;大;dà;da;big;这个房子很大。;zhè ge fáng zi hěn dà 。;zhe ge fang zi hen da 。;this house is very big.;Appearance
L1-0062;Beginner;大学;dàxué;daxue;university;我在北京大学学习。;wǒ zài běi jīng dà xué xué xí 。;wo zai bei jing da xue xue xi 。;i study at Peking University.;School
L1-0063;Beginner;大学生;dàxuéshēng;daxuesheng;university students;他是一名大学生。;tā shì yī míng dà xué shēng 。;ta shi yi ming da xue sheng 。;he is a university student.;School
L1-0064;Beginner;到;dào;dao;arrive;我八点到学校。;wǒ bā diǎn dào xué xiào 。;wo ba dian dao xue xiao 。;i arrive at school at eight.;Daily
L1-0065;Beginner;得到;dédào;dedao;get;我终于得到了答案。;wǒ zhōng yú dé dào le dá àn 。;wo zhong yu de dao le da an 。;i finally got the answer.;Daily
L1-0066;Beginner;地;de;de;land;他高兴地笑了。;tā gāo xìng dì xiào le 。;ta gao xing di xiao le 。;he smiled happily.;Daily
L1-0067;Beginner;的;de;de;of;这是我的书。;zhè shì wǒ de shū 。;zhe shi wo de shu 。;this is my book.;Daily
L1-0068;Beginner;等;děng;deng;wait;请等一下。;qǐng děng yí xià 。;qing deng yi xia 。;please wait a moment.;Daily
L1-0069;Beginner;地;dì;di;land;他高兴地笑了。;tā gāo xìng dì xiào le 。;ta gao xing di xiao le 。;he smiled happily.;Daily
L1-0070;Beginner;地点;dìdiǎn;didian;location;我们在哪个地点见面？;wǒ men zài nǎ ge dì diǎn jiàn miàn ？;wo men zai na ge di dian jian mian ？;at what location shall we meet?;Daily
L1-0071;Beginner;地方;dìfang;difang;place;这个地方很安静。;zhè ge dì fāng hěn ān jìng 。;zhe ge di fang hen an jing 。;this place is very quiet.;Daily
L1-0072;Beginner;地上;dìshang;dishang;ground;地上有很多树叶。;dì shàng yǒu hěn duō shù yè 。;di shang you hen duo shu ye 。;there are many leaves on the ground.;Daily
L1-0073;Beginner;地图;dìtú;ditu;map;请打开地图看一下。;qǐng dǎ kāi dì tú kàn yī xià 。;qing da kai di tu kan yi xia 。;please open the map and take a look.;Transport
L1-0074;Beginner;弟弟;dìdi;didi;younger brother;我的弟弟很可爱。;wǒ de dì di hěn kě ài 。;wo de di di hen ke ai 。;my younger brother is very cute.;Family
L1-0075;Beginner;第;dì;di;no.;我是第一名。;wǒ shì dì yì míng 。;wo shi di yi ming 。;i am the first place.;Daily
L1-0076;Beginner;点;diǎn;dian;point;现在三点钟。;xiàn zài sān diǎn zhōng 。;xian zai san dian zhong 。;it's three o'clock now.;Daily
L1-0077;Beginner;电;diàn;dian;electricity;停电了，没有电。;tíng diàn le ， méi yǒu diàn 。;ting dian le ， mei you dian 。;the power went out, there is no electricity.;Place
L1-0078;Beginner;电话;diànhuà;dianhua;telephone;我给你打电话。;wǒ gěi nǐ dǎ diàn huà 。;wo gei ni da dian hua 。;i will call you.;Communication
L1-0079;Beginner;电脑;diànnǎo;diannao;computer;我的电脑坏了。;wǒ de diàn nǎo huài le 。;wo de dian nao huai le 。;my computer is broken.;Office
L1-0080;Beginner;电视;diànshì;dianshi;tv;我在看电视。;wǒ zài kàn diàn shì 。;wo zai kan dian shi 。;i am watching TV.;Daily
L1-0081;Beginner;电视机;diànshìjī;dianshiji;television;这个电视机在日常生活中很有用。;zhè ge diàn shì jī zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge dian shi ji zai ri chang sheng huo zhong hen you yong 。;this television is very useful in daily life.;Daily
L1-0082;Beginner;电影;diànyǐng;dianying;movie;我们一起去看电影吧。;wǒ men yì qǐ qù kàn diàn yǐng ba 。;wo men yi qi qu kan dian ying ba 。;let's go watch a movie together.;Daily
L1-0083;Beginner;电影院;diànyǐngyuàn;dianyingyuan;cinema;请把电影院递给我。;qǐng bǎ diàn yǐng yuàn dì gěi wǒ 。;qing ba dian ying yuan di gei wo 。;please pass me the cinema.;Daily
L1-0084;Beginner;东;dōng;dong;east;太阳从东边升起。;tài yáng cóng dōng biān shēng qǐ 。;tai yang cong dong bian sheng qi 。;the sun rises from the east.;Daily
L1-0085;Beginner;东边;dōngbian;dongbian;east;我觉得东边非常重要。;wǒ jué de dōng biān fēi cháng zhòng yào 。;wo jue de dong bian fei chang zhong yao 。;i think east is very important.;Daily
L1-0086;Beginner;东西;dōngxi;dongxi;east and west;这是什么东西？;zhè shì shén me dōng xī ？;zhe shi shen me dong xi ？;what is this thing?;Daily
L1-0087;Beginner;动;dòng;dong;move;你知道动的意思吗？;nǐ zhī dào dòng de yì si ma ？;ni zhi dao dong de yi si ma ？;do you know the meaning of move?;Daily
L1-0088;Beginner;动作;dòngzuò;dongzuo;action;动作改变了我的生活方式。;dòng zuò gǎi biàn le wǒ de shēng huó fāng shì 。;dong zuo gai bian le wo de sheng huo fang shi 。;action changed my way of life.;Daily
L1-0089;Beginner;都;dōu;dou;all;我们都很好。;wǒ men dōu hěn hǎo 。;wo men dou hen hao 。;we are all very well.;Daily
L1-0090;Beginner;读;dú;du;read;我喜欢读故事书。;wǒ xǐ huān dú gù shì shū 。;wo xi huan du gu shi shu 。;i like reading story books.;Activity
L1-0091;Beginner;读书;dúshū;dushu;reading;他每天认真读书。;tā měi tiān rèn zhēn dú shū 。;ta mei tian ren zhen du shu 。;he reads books seriously every day.;Activity
L1-0092;Beginner;对;duì;dui;right;你说得很对。;nǐ shuō dé hěn duì 。;ni shuo de hen dui 。;you are absolutely right.;Daily
L1-0093;Beginner;对不起;duìbuqǐ;duibuqi;sorry;对不起，我错了。;duì bù qǐ ， wǒ cuò le 。;dui bu qi ， wo cuo le 。;sorry, I was wrong.;Daily
L1-0094;Beginner;多;duō;duo;many;这里人很多。;zhè lǐ rén hěn duō 。;zhe li ren hen duo 。;there are many people here.;People
L1-0095;Beginner;多少;duōshao;duoshao;how many;这个多少钱？;zhè ge duō shǎo qián ？;zhe ge duo shao qian ？;how much is this?;People
L1-0096;Beginner;饿;è;e;hunger;我很饿，想吃饭。;wǒ hěn è ， xiǎng chī fàn 。;wo hen e ， xiang chi fan 。;i am very hungry and want to eat.;Daily
L1-0097;Beginner;儿子;érzi;erzi;son;他的儿子很聪明。;tā de ér zi hěn cōng míng 。;ta de er zi hen cong ming 。;his son is very smart.;Family
L1-0098;Beginner;二;èr;er;two;我有二个兄弟。;wǒ yǒu èr gè xiōng dì 。;wo you er ge xiong di 。;i have two brothers.;Number
L1-0099;Beginner;饭;fàn;fan;rice;该吃饭了。;gāi chī fàn le 。;gai chi fan le 。;it's time to eat.;Food
L1-0100;Beginner;饭店;fàndiàn;fandian;hotel;我们去饭店吃饭。;wǒ men qù fàn diàn chī fàn 。;wo men qu fan dian chi fan 。;let's eat at a restaurant.;Weather
L1-0101;Beginner;房间;fángjiān;fangjian;room;我的房间很干净。;wǒ de fáng jiān hěn gān jìng 。;wo de fang jian hen gan jing 。;my room is very clean.;Place
L1-0102;Beginner;房子;fángzi;fangzi;house;我家的房子很大。;wǒ jiā de fáng zi hěn dà 。;wo jia de fang zi hen da 。;my house is very big.;Family
L1-0103;Beginner;放;fàng;fang;put;请把书放在桌上。;qǐng bǎ shū fàng zài zhuō shàng 。;qing ba shu fang zai zhuo shang 。;please put the book on the table.;Daily
L1-0104;Beginner;放假;fàngjià;fangjia;have a holiday;明天开始放假。;míng tiān kāi shǐ fàng jià 。;ming tian kai shi fang jia 。;the holiday starts tomorrow.;Daily
L1-0105;Beginner;放学;fàngxué;fangxue;after school;放学后我去踢球。;fàng xué hòu wǒ qù tī qiú 。;fang xue hou wo qu ti qiu 。;i will play soccer after school.;School
L1-0106;Beginner;飞;fēi;fei;fly;鸟在天上飞。;niǎo zài tiān shàng fēi 。;niao zai tian shang fei 。;birds are flying in the sky.;Daily
L1-0107;Beginner;飞机;fēijī;feiji;airplane;我坐飞机去北京。;wǒ zuò fēi jī qù běi jīng 。;wo zuo fei ji qu bei jing 。;i take a plane to Beijing.;Daily
L1-0108;Beginner;非常;fēicháng;feichang;very;今天非常热。;jīn tiān fēi cháng rè 。;jin tian fei chang re 。;today is very hot.;Daily
L1-0109;Beginner;分;fēn;fen;point;现在九点了十分。;xiàn zài jiǔ diǎn le shí fēn 。;xian zai jiu dian le shi fen 。;it's ten past nine now.;Daily
L1-0110;Beginner;风;fēng;feng;wind;今天风很大。;jīn tiān fēng hěn dà 。;jin tian feng hen da 。;the wind is very strong today.;Weather
L1-0111;Beginner;干;gān;gan;qian;你知道干的意思吗？;nǐ zhī dào gàn de yì si ma ？;ni zhi dao gan de yi si ma ？;do you know the meaning of qian?;Daily
L1-0112;Beginner;干净;gānjìng;ganjing;clean;这个房间很干净。;zhè ge fáng jiān hěn gān jìng 。;zhe ge fang jian hen gan jing 。;this room is very clean.;Activity
L1-0113;Beginner;干;gàn;gan;do;这个干在日常生活中很有用。;zhè ge gàn zài rì cháng shēng huó zhōng hěn yǒu yòng 。;zhe ge gan zai ri chang sheng huo zhong hen you yong 。;this do is very useful in daily life.;Daily
L1-0114;Beginner;干什么;gàn shénme;gan shenme;what are you doing?;这件干什么真好看。;zhè jiàn gàn shén me zhēn hǎo kàn 。;zhe jian gan shen me zhen hao kan 。;this what are you doing? looks really nice.;Appearance
L1-0115;Beginner;高;gāo;gao;high;他长得很高。;tā zhǎng dé hěn gāo 。;ta zhang de hen gao 。;he is very tall.;Daily
L1-0116;Beginner;高兴;gāoxìng;gaoxing;happy;我很高兴见到你。;wǒ hěn gāo xìng jiàn dào nǐ 。;wo hen gao xing jian dao ni 。;i am very happy to see you.;Emotion
L1-0117;Beginner;告诉;gàosu;gaosu;tell;他告诉我一个秘密。;tā gào sù wǒ yí gè mì mì 。;ta gao su wo yi ge mi mi 。;he told me a secret.;Communication
L1-0118;Beginner;哥哥;gēge;gege;elder brother;我的哥哥在大学读书。;wǒ dī gē gē zài dà xué dú shū 。;wo di ge ge zai da xue du shu 。;my elder brother is studying at university.;Family
L1-0119;Beginner;歌;gē;ge;song;我喜欢听中文歌。;wǒ xǐ huān tīng zhōng wén gē 。;wo xi huan ting zhong wen ge 。;i like listening to Chinese songs.;Family
L1-0120;Beginner;个;gè;ge;piece;我有一个好主意。;wǒ yǒu yí gè hǎo zhǔ yì 。;wo you yi ge hao zhu yi 。;i have a good idea.;Daily
L1-0121;Beginner;给;gěi;gei;give;请给我一杯水。;qǐng gěi wǒ yī bēi shuǐ 。;qing gei wo yi bei shui 。;please give me a glass of water.;Daily
L1-0122;Beginner;跟;gēn;gen;and;我跟你一起走。;wǒ gēn nǐ yì qǐ zǒu 。;wo gen ni yi qi zou 。;i will go with you.;Daily
L1-0123;Beginner;工人;gōngrén;gongren;worker;那位工人很辛苦。;nà wèi gōng rén hěn xīn kǔ 。;na wei gong ren hen xin ku 。;that worker works very hard.;Office
L1-0124;Beginner;工作;gōngzuò;gongzuo;work;爸爸去工作了。;bà bà qù gōng zuò le 。;ba ba qu gong zuo le 。;dad went to work.;Office
L1-0125;Beginner;关;guān;guan;shut;请关门。;qǐng guān mén 。;qing guan men 。;please close the door.;Daily
L1-0126;Beginner;关上;guānshang;guanshang;close;把窗户关上吧。;bǎ chuāng hù guān shàng ba 。;ba chuang hu guan shang ba 。;close the window.;Daily
L1-0127;Beginner;贵;guì;gui;expensive;这个东西很贵。;zhè ge dōng xī hěn guì 。;zhe ge dong xi hen gui 。;this thing is very expensive.;Shopping
L1-0128;Beginner;国;guó;guo;country;中国是一个大国。;zhōng guó shì yí gè dà guó 。;zhong guo shi yi ge da guo 。;china is a large country.;Place
L1-0129;Beginner;国家;guójiā;guojia;nation;我的国家很美丽。;wǒ de guó jiā hěn měi lì 。;wo de guo jia hen mei li 。;my country is very beautiful.;Daily
L1-0130;Beginner;国外;guó wài;guo wai;foreign countries;我想去国外旅行。;wǒ xiǎng qù guó wài lǚ xíng 。;wo xiang qu guo wai lv xing 。;i want to travel abroad.;Number
L1-0131;Beginner;过;guò;guo;pass;我去过北京。;wǒ qù guò běi jīng 。;wo qu guo bei jing 。;i have been to Beijing.;Daily
L1-0132;Beginner;还;hái;hai;also;他还没来。;tā hái méi lái 。;ta hai mei lai 。;he hasn't come yet.;Daily
L1-0133;Beginner;还是;háishi;haishi;or;你还是早点睡吧。;nǐ hái shì zǎo diǎn shuì ba 。;ni hai shi zao dian shui ba 。;you should go to sleep early.;Daily
L1-0134;Beginner;还有;hái yǒu;hai you;and;我还有一个问题。;wǒ hái yǒu yí gè wèn tí 。;wo hai you yi ge wen ti 。;i have one more question.;Daily
L1-0135;Beginner;孩子;háizi;haizi;child;孩子们正在玩耍。;hái zi men zhèng zài wán shuǎ 。;hai zi men zheng zai wan shua 。;the children are playing.;Family
L1-0136;Beginner;汉语;hànyǔ;hanyu;chinese;我在学汉语。;wǒ zài xué hàn yǔ 。;wo zai xue han yu 。;i am learning Chinese.;Daily
L1-0137;Beginner;汉字;hànzì;hanzi;chinese characters;汉字很有趣。;hàn zì hěn yǒu qù 。;han zi hen you qu 。;chinese characters are very interesting.;Daily
L1-0138;Beginner;好;hǎo;hao;good;今天天气很好。;jīn tiān tiān qì hěn hǎo 。;jin tian tian qi hen hao 。;the weather is very good today.;Daily
L1-0139;Beginner;好吃;hǎochī;haochi;tasty;这道菜很好吃。;zhè dào cài hěn hǎo chī 。;zhe dao cai hen hao chi 。;this dish is very delicious.;Daily
L1-0140;Beginner;好看;hǎokàn;haokan;nice;这部电影很好看。;zhè bù diàn yǐng hěn hǎo kàn 。;zhe bu dian ying hen hao kan 。;this movie is very good.;Daily
L1-0141;Beginner;好听;hǎotīng;haoting;it sounds nice;这首歌很好听。;zhè shǒu gē hěn hǎo tīng 。;zhe shou ge hen hao ting 。;this song sounds very nice.;Daily
L1-0142;Beginner;好玩儿;hǎowánr;haowanr;fun;这个地方很好玩儿。;zhè ge dì fāng hěn hǎo wán ér 。;zhe ge di fang hen hao wan er 。;this place is very fun.;Daily
L1-0143;Beginner;号;hào;hao;number;号成了我们的口号。;hào chéng le wǒ men de kǒu hào 。;hao cheng le wo men de kou hao 。;number became our slogan.;Number
L1-0144;Beginner;喝;hē;he;drink;我想喝水。;wǒ xiǎng hē shuǐ 。;wo xiang he shui 。;i want to drink water.;Food
L1-0145;Beginner;和;hé;he;and;我和你一起去。;wǒ hé nǐ yì qǐ qù 。;wo he ni yi qi qu 。;i will go with you.;Daily
L1-0146;Beginner;很;hěn;hen;very;我很喜欢这本书。;wǒ hěn xǐ huān zhè běn shū 。;wo hen xi huan zhe ben shu 。;i like this book very much.;Daily
L1-0147;Beginner;后;hòu;hou;back;他在我后面。;tā zài wǒ hòu miàn 。;ta zai wo hou mian 。;he is behind me.;Daily
L1-0148;Beginner;后边;hòubian;houbian;behind;后边让人印象深刻。;hòu biān ràng rén yìn xiàng shēn kè 。;hou bian rang ren yin xiang shen ke 。;behind is very impressive.;Daily
L1-0149;Beginner;后天;hòutiān;houtian;the day after tomorrow;后天是星期天。;hòu tiān shì xīng qī tiān 。;hou tian shi xing qi tian 。;the day after tomorrow is Sunday.;Time
L1-0150;Beginner;花;huā;hua;flower;花园里的花很美。;huā yuán lǐ de huā hěn měi 。;hua yuan li de hua hen mei 。;the flowers in the garden are very beautiful.;Daily
L1-0151;Beginner;话;huà;hua;talk;我正在话，请稍等一下。;wǒ zhèng zài huà ， qǐng shāo děng yí xià 。;wo zheng zai hua ， qing shao deng yi xia 。;i am talk, please wait a moment.;Activity
L1-0152;Beginner;坏;huài;huai;bad;我的手机坏了。;wǒ de shǒu jī huài le 。;wo de shou ji huai le 。;my phone is broken.;Daily
L1-0153;Beginner;还;huán;huan;also;他还没来。;tā hái méi lái 。;ta hai mei lai 。;he hasn't come yet.;Daily
L1-0154;Beginner;回;huí;hui;return;我回家了。;wǒ huí jiā le 。;wo hui jia le 。;i went back home.;Daily
L1-0155;Beginner;回答;huídá;huida;answer;请回答这个问题。;qǐng huí dá zhè ge wèn tí 。;qing hui da zhe ge wen ti 。;please answer this question.;Communication
L1-0156;Beginner;回到;huídào;huidao;back;我回到了家。;wǒ huí dào le jiā 。;wo hui dao le jia 。;i returned home.;Daily
L1-0157;Beginner;回家;huí jiā;hui jia;go home;放学后就回家。;fàng xué hòu jiù huí jiā 。;fang xue hou jiu hui jia 。;go home after school.;Family
L1-0158;Beginner;回来;huílái;huilai;come back;爸爸快回来了。;bà bà kuài huí lái le 。;ba ba kuai hui lai le 。;dad will be back soon.;Daily
L1-0159;Beginner;回去;huíqù;huiqu;go back;我们回去吧。;wǒ men huí qù ba 。;wo men hui qu ba 。;let's go back.;Daily
L1-0160;Beginner;会;huì;hui;can;我会说中文。;wǒ huì shuō zhōng wén 。;wo hui shuo zhong wen 。;i can speak Chinese.;Daily
